date,time,model,logloss,top1,top3
17457,M,freq_indep,4.236174757661319,FALSE,FALSE
17457,E,freq_indep,4.8258663003258215,FALSE,FALSE
17458,M,freq_indep,5.008187857119776,FALSE,FALSE
17458,E,freq_indep,4.654825776433952,FALSE,FALSE
17459,M,freq_indep,3.874667218884377,FALSE,FALSE
17459,E,freq_indep,4.9128649477051045,FALSE,FALSE
17460,M,freq_indep,5.0670156275323635,FALSE,FALSE
17460,E,freq_indep,5.452468046375294,FALSE,FALSE
17461,M,freq_indep,5.606618726202553,FALSE,FALSE
17461,E,freq_indep,4.787690135799263,FALSE,FALSE
17462,M,freq_indep,4.6133367486544845,FALSE,FALSE
17462,E,freq_indep,4.969813299576001,FALSE,FALSE
17463,M,freq_indep,4.2095268161784265,FALSE,FALSE
17463,E,freq_indep,4.4865743200746815,FALSE,FALSE
17464,M,freq_indep,5.025570820807369,FALSE,FALSE
17464,E,freq_indep,5.142394283608613,FALSE,FALSE
17465,M,freq_indep,5.02461124795223,FALSE,FALSE
17465,E,freq_indep,4.6096245363374715,FALSE,FALSE
17466,M,freq_indep,4.6096245363374715,FALSE,FALSE
17466,E,freq_indep,5.442590855704461,FALSE,FALSE
17467,M,freq_indep,4.8548041908023425,FALSE,FALSE
17467,E,freq_indep,4.210274029229161,FALSE,FALSE
17468,M,freq_indep,4.662259152972219,FALSE,FALSE
17468,E,freq_indep,4.906755163608864,FALSE,FALSE
17469,M,freq_indep,4.688065962644035,FALSE,FALSE
17469,E,freq_indep,4.038415339141626,FALSE,FALSE
17470,M,freq_indep,5.560841874586098,FALSE,FALSE
17470,E,freq_indep,5.0263836510643944,FALSE,FALSE
17471,M,freq_indep,4.1689334192131735,FALSE,FALSE
17471,E,freq_indep,4.876875303916732,FALSE,FALSE
17472,M,freq_indep,4.358081510501564,FALSE,FALSE
17472,E,freq_indep,4.24909030306067,FALSE,FALSE
17473,M,freq_indep,4.431411859854625,FALSE,FALSE
17473,E,freq_indep,5.100011597309828,FALSE,FALSE
17474,M,freq_indep,4.05018947281115,FALSE,FALSE
17474,E,freq_indep,3.787825208343659,TRUE,TRUE
17475,M,freq_indep,4.663293945697559,FALSE,FALSE
17475,E,freq_indep,5.100011597309828,FALSE,FALSE
17476,M,freq_indep,4.589185973543837,FALSE,FALSE
17476,E,freq_indep,4.075507280795439,FALSE,FALSE
17477,M,freq_indep,5.174119569463549,FALSE,FALSE
17477,E,freq_indep,4.360344401114989,FALSE,FALSE
17478,M,freq_indep,4.480972388903604,FALSE,FALSE
17478,E,freq_indep,3.7137172361899373,FALSE,TRUE
17479,M,freq_indep,4.678798132233524,FALSE,FALSE
17479,E,freq_indep,4.694546489201663,FALSE,FALSE
17533,M,freq_indep,5.290537179229074,FALSE,FALSE
17533,E,freq_indep,5.290537179229074,FALSE,FALSE
17534,M,freq_indep,4.1588830833596715,FALSE,FALSE
17534,E,freq_indep,3.817956496389079,FALSE,FALSE
17535,M,freq_indep,4.765255601335164,FALSE,FALSE
17535,E,freq_indep,4.205639813399741,FALSE,FALSE
17536,M,freq_indep,4.236174757661319,FALSE,FALSE
17536,E,freq_indep,3.7741392980647595,FALSE,FALSE
17537,M,freq_indep,4.25050215542226,FALSE,FALSE
17537,E,freq_indep,5.701335037679722,FALSE,FALSE
17538,M,freq_indep,4.567814399444322,FALSE,FALSE
17538,E,freq_indep,4.249360668325788,FALSE,FALSE
17539,M,freq_indep,4.07376385452208,FALSE,FALSE
17539,E,freq_indep,4.7305433909111505,FALSE,FALSE
17540,M,freq_indep,4.508006437534443,FALSE,FALSE
17540,E,freq_indep,6.012083834310718,FALSE,FALSE
17541,M,freq_indep,3.9201895680945396,FALSE,FALSE
17541,E,freq_indep,4.143333119408749,FALSE,FALSE
17542,M,freq_indep,4.969813299576001,FALSE,FALSE
17542,E,freq_indep,4.661511939921484,FALSE,FALSE
17543,M,freq_indep,4.237113460443098,FALSE,FALSE
17543,E,freq_indep,4.42203579893711,FALSE,FALSE
17544,M,freq_indep,4.58277849567319,FALSE,FALSE
17544,E,freq_indep,5.2069328047461845,FALSE,FALSE
17545,M,freq_indep,4.204159428229307,FALSE,FALSE
17545,E,freq_indep,5.05145728861651,FALSE,FALSE
17546,M,freq_indep,4.972587226458726,FALSE,FALSE
17546,E,freq_indep,4.184129866094455,FALSE,FALSE
17547,M,freq_indep,4.880948353937048,FALSE,FALSE
17547,E,freq_indep,3.804808921120997,FALSE,TRUE
17548,M,freq_indep,4.842216642471293,FALSE,FALSE
17548,E,freq_indep,4.619073091157083,FALSE,FALSE
17549,M,freq_indep,4.143775854799453,FALSE,FALSE
17549,E,freq_indep,5.075334058804397,FALSE,FALSE
17550,M,freq_indep,4.775069222783489,FALSE,FALSE
17550,E,freq_indep,4.620918542956231,FALSE,FALSE
17551,M,freq_indep,4.694553747122777,FALSE,FALSE
17551,E,freq_indep,4.203930830674306,FALSE,FALSE
17552,M,freq_indep,3.9459040440729236,FALSE,FALSE
17552,E,freq_indep,4.5367723755124505,FALSE,FALSE
17553,M,freq_indep,5.841948942039204,FALSE,FALSE
17553,E,freq_indep,4.4938757937395115,FALSE,FALSE
17554,M,freq_indep,4.94586091748257,FALSE,FALSE
17554,E,freq_indep,4.075507280795439,FALSE,FALSE
17555,M,freq_indep,5.436483833931041,FALSE,FALSE
17555,E,freq_indep,4.812329524858046,FALSE,FALSE
17556,M,freq_indep,4.743336653371095,FALSE,FALSE
17556,E,freq_indep,6.352774565805195,FALSE,FALSE
17557,M,freq_indep,5.436483833931041,FALSE,FALSE
17557,E,freq_indep,4.812329524858046,FALSE,FALSE
17558,M,freq_indep,4.041890669996454,FALSE,FALSE
17558,E,freq_indep,4.360344401114989,FALSE,FALSE
