date,time,logloss_freq,logloss_ewma,logloss_blend,logloss_markov,top1_freq,top3_freq,top1_ewma,top3_ewma,top1_blend,top3_blend,prev_d1,prev_d2
17457,M,4.236174757661319,4.636307501662101,4.416359955510075,4.579852378003801,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,9
17457,E,4.8258663003258215,4.671804113536337,4.74587124177646,5.652489180268651,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9,4
17458,M,5.008187857119776,5.466719837828402,5.21139946189976,5.662960480135946,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,3
17458,E,4.654825776433952,5.43662529553099,4.9711941665253905,5.455321115357702,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0
17459,M,3.874667218884377,3.745156389678747,3.807816636073349,4.653960350157523,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,5,6
17459,E,4.9128649477051045,4.9638613667506215,4.93803811310285,4.174387269895637,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,2
17460,M,5.0670156275323635,5.072071462009633,5.069540349591619,4.085976312551584,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8,3
17460,E,5.452468046375294,5.39065049043362,5.42108166816547,4.02535169073515,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,3
17461,M,5.606618726202553,6.396848353982648,5.925625953558522,5.3471075307174685,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9,1
17461,E,4.787690135799263,5.185057031535279,4.966764533689359,5.2574953720277815,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8,8
17462,M,4.6133367486544845,4.92395651241822,4.756634227082162,4.499809670330265,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,7
17462,E,4.969813299576001,5.278046382974359,5.11210060418457,4.0943445622221,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,5
17463,M,4.2095268161784265,4.1247862722357524,4.166259192678995,4.890349128221754,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,9
17463,E,4.4865743200746815,4.242240656255473,4.356963609521205,5.455321115357702,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,6
17464,M,5.025570820807369,5.347034781069485,5.173440655630917,5.768320995793772,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,5
17464,E,5.142394283608613,4.782870970669447,4.946561775587665,4.553876891600541,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,3
17465,M,5.02461124795223,4.755156783284964,4.880835626074303,5.4116460518550396,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6,6
17465,E,4.6096245363374715,4.6698742598105465,4.639295713040872,4.011868340397862,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8,8
17466,M,4.6096245363374715,5.027328900023035,4.796823834203126,5.41610040220442,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6,4
17466,E,5.442590855704461,4.999129156089759,5.196476548539324,4.507189777627888,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,5
17467,M,4.8548041908023425,4.8297256929691494,4.842186327564142,5.605802066295998,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,6
17467,E,4.210274029229161,4.220259005631037,4.215254055012652,4.584967478670572,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8,6
17468,M,4.662259152972219,4.676889248838002,4.6695474461805855,5.529429087511423,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,6
17468,E,4.906755163608864,5.116882903596811,5.0063099493119045,4.7303333289420975,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,4
17469,M,4.688065962644035,4.35634122596623,4.508511041012099,4.219507705176107,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6,2
17469,E,4.038415339141626,3.685966353504776,3.8467430191679255,5.529429087511423,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,5,5
17470,M,5.560841874586098,5.709231965907499,5.6322869894769685,5.605802066295998,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6,0
17470,E,5.0263836510643944,4.884694045822459,4.953031451794045,5.940171252720432,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,5
17471,M,4.1689334192131735,4.458376208583912,4.303219025227809,4.579852378003801,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,7
17471,E,4.876875303916732,5.502633240455158,5.141585991863726,5.480638923341991,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,3
17472,M,4.358081510501564,4.765535213718846,4.541198030860885,5.886104031450156,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,2
17472,E,4.24909030306067,4.255003697609523,4.252042629312079,4.197201947661808,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,9
17473,M,4.431411859854625,4.133941959291054,4.2716564100979335,4.430816798843313,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9,5
17473,E,5.100011597309828,5.396265979960527,5.237207842759065,5.184588601219694,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,4
17474,M,4.05018947281115,4.099753916830366,4.074664646984303,3.9858928539946015,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,6
17474,E,3.787825208343659,3.5832059926871995,3.680291077471165,2.995732273553991,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,9,9
17475,M,4.663293945697559,4.7955708745826815,4.7272468545823205,4.602667055769973,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,2
17475,E,5.100011597309828,4.553938324897687,4.7901545848140055,4.343805421853684,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,4
17476,M,4.589185973543837,4.581083146151612,4.585126352893707,4.631487494305465,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8,7
17476,E,4.075507280795439,3.983391685693587,4.028389197675028,4.787491742782046,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8,9
17477,M,5.174119569463549,5.566140838206768,5.351041882799186,4.330733340286331,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,6
17477,E,4.360344401114989,4.219124203259341,4.287243477907102,4.189654742026425,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,8
17478,M,4.480972388903604,4.606159015153526,4.541608018446336,4.882801922586371,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,5
17478,E,3.7137172361899373,3.29323823946883,3.4815383289838757,4.442651256490317,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,4,5
17479,M,4.678798132233524,4.541404178973788,4.607743371935003,4.007333185232471,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1
17479,E,4.694546489201663,4.4097454950151755,4.542041123271136,4.343805421853684,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,5
17533,M,5.290537179229074,4.956432104504014,5.1095957858096455,4.77912349311153,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,0
17533,E,5.290537179229074,5.508739047547776,5.3936983759411925,5.598421958998375,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,3
17534,M,4.1588830833596715,3.671135415346898,3.885562201224241,3.817712325956905,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,7,7
17534,E,3.817956496389079,3.967311742421839,3.8898483335440623,5.204006687076795,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9,6
17535,M,4.765255601335164,4.722002781407891,4.74339535879403,5.666426688112432,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,6
17535,E,4.205639813399741,3.995194265506265,4.094891308770085,5.14166355650266,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6,5
17536,M,4.236174757661319,4.146107962995715,4.190127699439937,4.029806041084529,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0
17536,E,3.7741392980647595,3.564807658266617,3.6640059830005147,3.871201010907891,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8,4
17537,M,4.25050215542226,3.9026360573381598,4.061518412760567,4.564348191467836,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8,0
17537,E,5.701335037679722,6.123707487487795,5.890385267192556,5.195730777772936,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,4
17538,M,4.567814399444322,4.470362183931603,4.51790164435098,4.973279507552487,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6,0
17538,E,4.249360668325788,3.9550863332920123,4.091437661609642,4.02535169073515,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9,7
17539,M,4.07376385452208,3.9453992869097996,4.007523300484926,5.541263545158426,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,5
17539,E,4.7305433909111505,4.799521456293702,4.764437794784924,5.703782474656201,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,9
17540,M,4.508006437534443,4.453530537702056,4.480397580520058,5.780743515792329,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,5
17540,E,6.012083834310718,7.26233391760123,6.453357621695925,4.787491742782046,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,9
17541,M,3.9201895680945396,3.850937755438492,3.8849643048244804,4.212127597878484,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9,0
17541,E,4.143333119408749,4.119056011810242,4.131120895174456,3.6635616461296463,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,7
17542,M,4.969813299576001,5.211888024618781,5.083543456285069,4.097118489104826,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8,5
17542,E,4.661511939921484,4.742931417479225,4.701393266065729,4.679040034554547,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6,9
17543,M,4.237113460443098,3.8075808344440323,3.9994600019424444,4.762173934797756,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,6
17543,E,4.42203579893711,4.174378759942196,4.290560041599928,5.545177444479562,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,3
17544,M,4.58277849567319,4.772681379402348,4.673228806825998,4.382026634673881,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,5
17544,E,5.2069328047461845,5.1959812312582825,5.201442025956921,3.874667218884377,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8,3
17545,M,4.204159428229307,4.022180517952763,4.109036131970695,4.912654885736052,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,4
17545,E,5.05145728861651,5.075212828782651,5.0632645196471096,4.653960350157523,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,7
17546,M,4.972587226458726,4.9261829071596654,4.949115920850377,5.123963979403259,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,5
17546,E,4.184129866094455,4.08830061945577,4.135067776171541,3.624340932976365,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9,6
17547,M,4.880948353937048,4.416024942954268,4.621707322166298,4.410776047959867,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,0
17547,E,3.804808921120997,3.742154260882782,3.772990970437122,3.7495040759303713,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1,4
17548,M,4.842216642471293,5.6630081930317395,5.170662955192131,4.836281906951478,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,7
17548,E,4.619073091157083,5.158743597999944,4.85293620752929,5.3471075307174685,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,4
17549,M,4.143775854799453,3.6114834974689964,3.842623168893021,5.541263545158426,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,8
