draw_date,time,d1,d2
2016-09-12,E,4,5
2016-09-12,M,0,8
2016-09-13,E,7,2
2016-09-13,M,0,3
2016-09-14,E,9,9
2016-09-14,M,7,4
2016-09-15,E,2,6
2016-09-15,M,8,6
2016-09-16,E,0,1
2016-09-16,M,2,8
2016-09-17,E,0,4
2016-09-17,M,2,5
2016-09-18,E,5,0
2016-09-18,M,2,1
2016-09-19,E,6,0
2016-09-19,M,7,1
2016-09-20,E,2,0
2016-09-20,M,8,9
2016-09-21,E,7,0
2016-09-21,M,9,9
2016-09-22,E,3,5
2016-09-22,M,7,0
2016-09-23,E,7,1
2016-09-23,M,7,0
2016-09-24,E,6,4
2016-09-24,M,9,8
2016-09-25,E,5,8
2016-09-25,M,5,7
2016-09-26,E,8,3
2016-09-26,M,9,8
2016-09-27,E,1,0
2016-09-27,M,1,6
2016-09-28,E,7,3
2016-09-28,M,7,5
2016-09-29,E,6,6
2016-09-29,M,7,1
2016-09-30,E,2,1
2016-09-30,M,7,8
2016-10-01,E,5,1
2016-10-01,M,1,5
2016-10-02,E,2,2
2016-10-02,M,6,1
2016-10-03,E,0,4
2016-10-03,M,7,1
2016-10-04,E,9,7
2016-10-04,M,3,1
2016-10-05,E,5,3
2016-10-05,M,5,8
2016-10-06,E,2,0
2016-10-06,M,9,6
2016-10-07,E,6,8
2016-10-07,M,0,5
2016-10-08,E,9,9
2016-10-08,M,3,6
2016-10-09,E,9,8
2016-10-09,M,4,3
2016-10-10,E,0,2
2016-10-10,M,9,4
2016-10-11,E,4,5
2016-10-11,M,5,0
2016-10-12,E,0,9
2016-10-12,M,0,6
2016-10-13,M,3,1
2016-11-30,E,7,4
2016-12-01,E,4,3
2016-12-01,M,0,2
2016-12-02,E,5,4
2016-12-02,M,4,0
2016-12-03,E,3,5
2016-12-03,M,1,4
2016-12-04,E,7,7
2016-12-04,M,6,2
2016-12-05,E,8,9
2016-12-05,M,7,5
2016-12-06,E,5,4
2016-12-06,M,7,4
2016-12-07,E,9,4
2016-12-07,M,0,8
2016-12-08,E,5,8
2016-12-08,M,6,7
2016-12-09,E,2,9
2016-12-09,M,2,5
2016-12-10,E,2,6
2016-12-10,M,8,8
2016-12-11,E,7,4
2016-12-11,M,1,8
2016-12-12,E,1,0
2016-12-12,M,9,6
2016-12-13,E,3,3
2016-12-13,M,4,3
2016-12-14,E,5,5
2016-12-14,M,6,3
2016-12-15,E,9,6
2016-12-15,M,4,5
2016-12-16,E,4,5
2016-12-16,M,8,8
2016-12-17,E,0,6
2016-12-17,M,5,0
2016-12-18,E,4,7
2016-12-18,M,2,1
2016-12-19,E,5,2
2016-12-19,M,3,7
2016-12-20,E,9,3
2016-12-20,M,6,0
2016-12-21,E,7,1
2016-12-21,M,3,4
2016-12-22,E,4,1
2016-12-22,M,1,4
2016-12-23,E,7,7
2016-12-23,M,4,4
2016-12-24,E,9,5
2016-12-24,M,0,6
2016-12-25,E,5,7
2016-12-25,M,3,2
2016-12-26,E,8,0
2016-12-26,M,3,0
2016-12-27,E,6,0
2016-12-27,M,2,4
2016-12-28,E,8,9
2016-12-28,M,9,4
2016-12-29,E,8,5
2016-12-29,M,6,6
2016-12-30,E,1,4
2016-12-30,M,2,4
2016-12-31,E,6,8
2016-12-31,M,2,1
2017-02-18,E,9,7
2017-02-18,M,6,5
2017-02-19,E,8,0
2017-02-19,M,6,3
2017-02-20,E,6,3
2017-02-20,M,2,9
2017-02-21,E,1,4
2017-02-21,M,4,7
2017-02-22,E,7,4
2017-02-22,M,8,6
2017-02-23,E,8,3
2017-02-23,M,7,8
2017-02-24,E,0,1
2017-02-24,M,3,8
2017-02-25,E,0,2
2017-02-25,M,5,4
2017-02-26,E,2,7
2017-02-26,M,7,3
2017-02-27,E,1,4
2017-02-27,M,4,0
2017-02-28,E,1,0
2017-02-28,M,2,6
2017-03-01,E,2,3
2017-03-01,M,7,3
2017-03-02,E,2,6
2017-03-02,M,2,3
2017-03-03,E,4,2
2017-03-03,M,1,9
2017-03-04,E,8,2
2017-03-04,M,8,0
2017-03-05,E,4,2
2017-03-05,M,1,2
2017-03-06,E,0,6
2017-03-06,M,7,5
2017-03-07,E,4,2
2017-03-07,M,6,8
2017-03-08,E,6,1
2017-03-08,M,5,5
2017-03-09,E,7,7
2017-03-09,M,5,5
2017-03-10,E,5,2
2017-03-10,M,6,3
2017-03-11,E,1,3
2017-03-11,M,8,6
2017-03-12,E,0,7
2017-03-12,M,5,3
2017-03-13,E,9,7
2017-03-13,M,2,3
2017-03-14,E,7,4
2017-03-14,M,8,1
2017-03-15,E,7,9
2017-03-15,M,9,4
2017-03-16,E,6,0
2017-03-16,M,8,2
2017-03-17,E,8,1
2017-03-17,M,5,4
2017-03-18,E,4,1
2017-03-18,M,1,1
2017-03-19,E,3,6
2017-03-19,M,2,7
2017-03-20,E,7,3
2017-03-20,M,0,9
2017-03-21,M,3,3
2017-05-08,E,7,7
2017-05-09,E,0,1
2017-05-09,M,5,8
2017-05-10,E,4,4
2017-05-10,M,9,6
2017-05-11,E,9,4
2017-05-11,M,4,3
2017-05-12,E,3,2
2017-05-12,M,3,2
2017-05-13,E,2,3
2017-05-13,M,2,8
2017-05-14,E,6,7
2017-05-14,M,7,6
2017-05-15,E,5,2
2017-05-15,M,7,5
2017-05-16,E,0,7
2017-05-16,M,3,0
2017-05-17,E,3,2
2017-05-17,M,3,5
2017-05-18,E,1,5
2017-05-18,M,1,3
2017-05-19,E,1,2
2017-05-19,M,8,9
2017-05-20,E,0,7
2017-05-20,M,1,7
2017-05-21,E,2,4
2017-05-21,M,1,7
2017-05-22,E,1,5
2017-05-22,M,2,2
2017-05-23,E,3,6
2017-05-23,M,1,6
2017-05-24,E,5,9
2017-05-24,M,6,5
2017-05-25,E,7,4
2017-05-25,M,1,2
2017-05-26,E,1,3
2017-05-26,M,1,1
2017-05-27,E,6,8
2017-05-27,M,8,5
2017-05-28,E,5,2
2017-05-28,M,3,9
2017-05-29,E,9,9
2017-05-29,M,8,6
2017-05-30,E,2,8
2017-05-30,M,7,5
2017-05-31,E,1,1
2017-05-31,M,0,0
2017-06-01,E,9,1
2017-06-01,M,8,0
2017-06-02,E,2,4
2017-06-02,M,9,3
2017-06-03,E,9,5
2017-06-03,M,8,5
2017-06-04,E,1,6
2017-06-04,M,5,4
2017-06-05,E,3,1
2017-06-05,M,8,9
2017-06-06,E,9,6
2017-06-06,M,4,8
2017-06-07,E,8,1
2017-06-07,M,9,3
2017-06-08,E,4,4
2017-06-08,M,3,1
2017-07-27,E,7,8
2017-07-27,M,6,3
2017-07-28,E,6,6
2017-07-28,M,9,8
2017-07-29,E,1,1
2017-07-29,M,2,9
2017-07-30,E,7,5
2017-07-30,M,8,3
2017-07-31,E,4,2
2017-07-31,M,5,4
2017-08-01,E,6,8
2017-08-01,M,1,5
2017-08-02,E,0,2
2017-08-02,M,8,1
2017-08-03,E,4,9
2017-08-03,M,3,4
2017-08-04,E,8,2
2017-08-04,M,5,2
2017-08-05,E,6,5
2017-08-05,M,0,2
2017-08-06,E,1,0
2017-08-06,M,9,2
2017-08-07,E,4,6
2017-08-07,M,0,8
2017-08-08,E,1,4
2017-08-08,M,8,6
2017-08-09,E,9,4
2017-08-09,M,9,8
2017-08-10,E,2,8
2017-08-10,M,8,5
2017-08-11,E,4,8
2017-08-11,M,1,8
2017-08-12,E,6,2
2017-08-12,M,4,5
2017-08-13,E,6,3
2017-08-13,M,2,8
2017-08-14,E,4,2
2017-08-14,M,6,5
2017-08-15,E,2,3
2017-08-15,M,7,4
2017-08-16,E,6,7
2017-08-16,M,6,4
2017-08-17,E,3,5
2017-08-17,M,2,2
2017-08-18,E,2,0
2017-08-18,M,0,0
2017-08-19,E,6,7
2017-08-19,M,3,4
2017-08-20,E,3,4
2017-08-20,M,8,3
2017-08-21,E,2,9
2017-08-21,M,5,1
2017-08-22,E,9,5
2017-08-22,M,4,0
2017-08-23,E,0,6
2017-08-23,M,3,1
2017-08-24,E,9,9
2017-08-24,M,6,3
2017-08-25,E,1,6
2017-08-25,M,3,3
2017-08-26,E,4,1
2017-08-26,M,6,1
2017-08-27,M,0,7
2017-10-14,E,0,1
2017-10-15,E,6,0
2017-10-15,M,8,0
2017-10-16,E,8,4
2017-10-16,M,7,1
2017-10-17,E,9,4
2017-10-17,M,7,9
2017-10-18,E,1,0
2017-10-18,M,1,3
2017-10-19,E,5,2
2017-10-19,M,5,6
2017-10-20,E,4,3
2017-10-20,M,8,3
2017-10-21,E,8,8
2017-10-21,M,9,1
2017-10-22,E,0,5
2017-10-22,M,5,7
2017-10-23,E,2,6
2017-10-23,M,1,9
2017-10-24,E,2,3
2017-10-24,M,5,5
2017-10-25,E,8,8
2017-10-25,M,6,6
2017-10-26,E,0,5
2017-10-26,M,6,4
2017-10-27,E,8,6
2017-10-27,M,3,6
2017-10-28,E,4,4
2017-10-28,M,0,6
2017-10-29,E,5,5
2017-10-29,M,6,2
2017-10-30,E,2,5
2017-10-30,M,6,0
2017-10-31,E,5,3
2017-10-31,M,0,7
2017-11-01,E,1,9
2017-11-01,M,1,2
2017-11-02,E,0,4
2017-11-02,M,9,5
2017-11-03,E,9,9
2017-11-03,M,5,6
2017-11-04,E,2,4
2017-11-04,M,1,2
2017-11-05,E,8,9
2017-11-05,M,8,7
2017-11-06,E,2,8
2017-11-06,M,7,6
2017-11-07,E,4,5
2017-11-07,M,4,5
2017-11-08,E,2,5
2017-11-08,M,1,1
2017-11-09,E,4,3
2017-11-09,M,5,0
2017-11-10,E,2,3
2017-11-10,M,7,1
2017-11-11,E,9,8
2017-11-11,M,3,0
2017-11-12,E,3,8
2017-11-12,M,4,7
2017-11-13,E,3,7
2017-11-13,M,8,8
2017-11-14,E,6,1
2017-11-14,M,7,9
2018-01-02,E,9,6
2018-01-02,M,7,7
2018-01-03,E,6,5
2018-01-03,M,1,6
2018-01-04,E,8,4
2018-01-04,M,0,0
2018-01-05,E,4,4
2018-01-05,M,8,0
2018-01-06,E,9,7
2018-01-06,M,6,0
2018-01-07,E,2,9
2018-01-07,M,7,5
2018-01-08,E,1,9
2018-01-08,M,5,5
2018-01-09,E,7,7
2018-01-09,M,9,0
2018-01-10,E,6,9
2018-01-10,M,8,5
2018-01-11,E,1,3
2018-01-11,M,3,6
2018-01-12,E,8,3
2018-01-12,M,7,5
2018-01-13,E,0,7
2018-01-13,M,7,4
2018-01-14,E,9,6
2018-01-14,M,0,5
