time,pair,d1,d2,sum,prob,in_playlist
E,31,3,1,4,0.01365678346810422,TRUE
E,35,3,5,8,0.01895777178796046,FALSE
E,26,2,6,8,0.01455525606469002,FALSE
E,44,4,4,8,0.01401617250673854,FALSE
E,18,1,8,9,0.01230907457322551,FALSE
E,36,3,6,9,0.01123090745732255,FALSE
E,27,2,7,9,0.01033243486073674,FALSE
E,09,0,9,9,0.00988319856244384,FALSE
E,17,1,7,8,0.00979335130278526,FALSE
E,08,0,8,8,0.00844564240790655,FALSE
M,31,3,1,4,0.02120395327942497,TRUE
M,19,1,9,10,0.01680143755615453,FALSE
M,28,2,8,10,0.01455525606469002,FALSE
M,35,3,5,8,0.01392632524707996,FALSE
M,08,0,8,8,0.01347708894878705,FALSE
M,26,2,6,8,0.01203953279424977,FALSE
M,37,3,7,10,0.01123090745732255,FALSE
M,46,4,6,10,0.01015274034141958,FALSE
M,44,4,4,8,0.00898472596585804,FALSE
M,17,1,7,8,0.00727762803234501,FALSE
