time,pair,d1,d2,sum,prob,in_playlist
M,31,3,1,4,0.02120395327942497,TRUE
M,98,9,8,17,0.01221922731356693,TRUE
M,19,1,9,10,0.01680143755615453,FALSE
M,71,7,1,8,0.01563342318059299,FALSE
M,82,8,2,10,0.01491464510332434,FALSE
M,28,2,8,10,0.01455525606469002,FALSE
M,80,8,0,8,0.01455525606469002,FALSE
M,35,3,5,8,0.01392632524707996,FALSE
M,64,6,4,10,0.01347708894878705,FALSE
M,08,0,8,8,0.01347708894878705,FALSE
M,26,2,6,8,0.01203953279424977,FALSE
M,37,3,7,10,0.01123090745732255,FALSE
M,73,7,3,10,0.0109613656783468,FALSE
M,53,5,3,8,0.01042228212039532,FALSE
M,46,4,6,10,0.01015274034141958,FALSE
M,55,5,5,10,0.0096136567834681,FALSE
M,44,4,4,8,0.00898472596585804,FALSE
M,62,6,2,8,0.00790655884995507,FALSE
M,17,1,7,8,0.00727762803234501,FALSE
M,91,9,1,10,0.0045822102425876,FALSE
