time,d1,d2,prob
E,0,6,0.02039532794249775
E,3,5,0.01895777178796046
E,4,9,0.01761006289308176
E,7,4,0.01761006289308176
E,5,9,0.01743036837376459
E,5,2,0.01626235399820305
E,6,6,0.01563342318059299
E,1,0,0.01518418688230008
E,0,5,0.0150943396226415
E,9,8,0.01473495058400718
E,0,4,0.0146451033243486
E,2,6,0.01455525606469002
E,3,4,0.01455525606469002
E,5,7,0.01428571428571428
E,3,0,0.0141958670260557
E,4,4,0.01401617250673854
E,6,0,0.01392632524707996
E,2,0,0.0137466307277628
E,3,1,0.01365678346810422
E,8,3,0.01365678346810422
E,6,4,0.01347708894878705
E,5,0,0.01320754716981131
E,6,2,0.01293800539083557
E,8,5,0.01293800539083557
E,8,2,0.01239892183288409
