time,d1,d2,p
M,4,3,0.017275686311025107
M,4,5,0.016704259763814275
M,4,6,0.016504924921763985
M,7,3,0.015433648166665991
M,3,3,0.01506524053779417
M,7,5,0.014923150573460884
M,7,6,0.014745070017691665
M,3,5,0.014566928735390209
M,0,3,0.014499471679169585
M,3,6,0.0143930990368772
M,0,5,0.014019873769781666
M,0,6,0.013852572173483558
M,1,3,0.013762656421425941
M,4,8,0.01350161330153962
M,4,1,0.01332885643842937
M,1,5,0.013307430093640313
M,1,6,0.01314863021185463
M,4,2,0.012757429891218539
M,5,3,0.012065349845552187
M,6,3,0.012065349845552187
M,7,8,0.012061989644102038
M,7,1,0.011907653162435377
M,3,8,0.011774064912614521
M,2,3,0.011696942216680363
M,5,5,0.01166626519681469
E,4,4,0.017728724821631917
E,4,7,0.01737159942954149
E,9,4,0.0163068200530738
E,4,1,0.01630022325327021
E,9,7,0.015978337346968716
E,9,1,0.014992889228653465
E,3,4,0.014753128988893225
E,5,4,0.014753128988893225
E,3,7,0.01445594365674286
E,5,7,0.01445594365674286
E,2,4,0.014149686477358805
E,2,7,0.013864656821699782
E,4,6,0.013762082073770388
E,0,4,0.013761263711313662
E,6,4,0.013587860690757791
E,3,1,0.013564387660291758
E,5,1,0.013564387660291758
E,0,7,0.013484058399143316
E,6,7,0.013314148389073464
E,2,1,0.013009567854722702
E,7,4,0.012984418179223377
E,7,7,0.01272286155403039
E,9,6,0.012658315710263763
E,0,1,0.012652442462632273
E,4,0,0.012652442462632273
