time,d1,d2,p
M,0,3,0.01960255536465921
M,0,6,0.019309042250162178
M,0,2,0.017995187090268833
M,0,8,0.017333280529358362
M,0,4,0.017137437402293895
M,7,3,0.015399780904038247
M,7,6,0.015169196800505234
M,0,7,0.014879683857087433
M,0,5,0.014878801573720159
M,3,3,0.014772753784540965
M,3,6,0.014551558287712237
M,0,1,0.014377989308834263
M,0,9,0.014216568698252609
M,7,2,0.014137031288121315
M,7,8,0.01361703704107821
M,3,2,0.013561419072462506
M,7,4,0.01346318254648554
M,4,3,0.013307626541068915
M,4,6,0.013108368697386226
M,3,8,0.013062597236696573
M,3,4,0.012915007178018106
M,2,3,0.012704581003713897
M,2,6,0.012514352685547648
M,4,2,0.01221642917870292
M,4,8,0.011767079328450222
E,4,4,0.022711011472503262
E,4,1,0.022019391287196828
E,4,7,0.020217873447085862
E,4,6,0.019429686015495197
E,6,4,0.017191318004412037
E,1,4,0.01672934109060717
E,6,1,0.016667789470323248
E,7,4,0.016606187084984212
E,0,4,0.016229531731793336
E,1,1,0.01621988117513186
E,7,1,0.016100477587947696
E,9,4,0.015752546149215566
E,0,1,0.015735292549299437
E,2,4,0.015612301911431072
E,6,7,0.015304113259007615
E,9,1,0.01527283264548372
E,2,1,0.015136859276297137
E,1,7,0.014892850608284616
E,7,7,0.014783216032862855
E,6,6,0.014707487221459216
E,0,7,0.014447908630407425
E,1,6,0.014312257515705968
E,7,6,0.014206897009693206
E,4,0,0.014103926619606853
E,9,7,0.014023284911806532
