time,d1,d2,p,p_cal
M,4,3,0.01689509289135214,0.01689509289135214
M,4,4,0.01689509289135214,0.01689509289135214
M,1,3,0.01672036241594436,0.01672036241594436
M,1,4,0.01672036241594436,0.01672036241594436
M,7,3,0.01614240776651863,0.01614240776651863
M,7,4,0.01614240776651863,0.01614240776651863
M,4,6,0.01489770615645583,0.01489770615645583
M,3,3,0.01481176799225939,0.01481176799225939
M,3,4,0.01481176799225939,0.01481176799225939
M,1,6,0.01474363282309551,0.01474363282309551
M,2,3,0.01461015590525041,0.01461015590525041
M,2,4,0.01461015590525041,0.01461015590525041
M,4,5,0.01437609560785234,0.01437609560785234
M,7,6,0.01423400564351906,0.01423400564351906
M,1,5,0.01422741681477193,0.01422741681477193
M,7,5,0.01373563311458286,0.01373563311458286
M,0,3,0.01310478565558339,0.01310478565558339
M,0,4,0.01310478565558339,0.01310478565558339
M,9,3,0.0130779040439822,0.0130779040439822
M,9,4,0.0130779040439822,0.0130779040439822
M,3,6,0.01306067795100583,0.01306067795100583
M,2,6,0.01288290102789776,0.01288290102789776
M,3,5,0.01260338692112432,0.01260338692112432
M,2,5,0.01243183446757,0.01243183446757
M,4,9,0.01185709832435255,0.01185709832435255
E,6,5,0.01721216845092969,0.01721216845092969
E,6,1,0.01717390501606285,0.01717390501606285
E,9,5,0.01717176429963643,0.01717176429963643
E,9,1,0.01713359068503923,0.01713359068503923
E,3,5,0.01700341366924783,0.01700341366924783
E,3,1,0.01696561430577414,0.01696561430577414
E,6,6,0.01610252883979157,0.01610252883979157
E,9,6,0.01606472947631789,0.01606472947631789
E,3,6,0.01590723212851085,0.01590723212851085
E,5,5,0.01566334265135463,0.01566334265135463
E,5,1,0.01562852232682402,0.01562852232682402
E,6,7,0.01503115266352029,0.01503115266352029
E,9,7,0.01499586826759654,0.01499586826759654
E,3,7,0.01484884995124755,0.01484884995124755
E,5,6,0.01465355323996682,0.01465355323996682
E,6,4,0.01427863844447261,0.01427863844447261
E,9,4,0.01424512051385178,0.01424512051385178
E,3,4,0.01410546246959833,0.01410546246959833
E,5,7,0.01367858415310962,0.01367858415310962
E,4,5,0.01356906080932055,0.01356906080932055
E,4,1,0.01353889616876629,0.01353889616876629
E,5,4,0.01299378443734088,0.01299378443734088
E,4,6,0.01269428623324727,0.01269428623324727
E,7,5,0.01239734042181594,0.01239734042181594
E,7,1,0.01236978056908126,0.01236978056908126
